"f","p","u.x:0","u.x:1","u.x:2","Points:0","Points:1","Points:2"
0.5,0,26.712222,-0.0023887914,0,-35.409627,-1.8894044e-05,0
0.5,0,26.711795,-0.0024147489,0,-35.400399,-1.8523871e-05,0
0.5,0,26.711328,-0.0024131356,0,-35.39117,-1.814628e-05,0
0.5,0,26.71094,-0.0023609665,0,-35.381942,-1.7742644e-05,0
0.5,0,26.710659,-0.0022781986,0,-35.372713,-1.7304471e-05,0
0.5,0,26.710424,-0.0022287899,0,-35.363485,-1.6840822e-05,0
0.5,0,26.710153,-0.0022507055,0,-35.354256,-1.6369625e-05,0
0.5,0,26.709727,-0.002285943,0,-35.345028,-1.5907012e-05,0
0.5,0,26.709313,-0.0022945469,0,-35.335799,-1.5461946e-05,0
0.5,0,26.708564,-0.002278954,0,-35.326571,-1.5031047e-05,0
0.5,0,26.707416,-0.0022673655,0,-35.317342,-1.4597171e-05,0
0.5,0,26.706429,-0.0022998472,0,-35.308114,-1.4141283e-05,0
0.5,0,26.705622,-0.0023446132,0,-35.298885,-1.3657501e-05,0
0.5,0,26.705075,-0.0023631998,0,-35.289657,-1.3152888e-05,0
0.5,0,26.704859,-0.0023439647,0,-35.280429,-1.2637893e-05,0
0.5,0,26.704952,-0.0022588425,0,-35.2712,-1.2123979e-05,0
0.5,0,26.70528,-0.0020739577,0,-35.261972,-1.162648e-05,0
0.5,0,26.705807,-0.0018252153,0,-35.252743,-1.1158237e-05,0
0.5,0,26.706583,-0.0016350533,0,-35.243515,-1.0715761e-05,0
0.5,0,26.707585,-0.0016043283,0,-35.234286,-1.0275415e-05,0
0.5,0,26.70863,-0.0017415255,0,-35.225058,-9.8059926e-06,0
0.5,0,26.709651,-0.0020071863,0,-35.215829,-9.2958651e-06,0
0.5,0,26.710245,-0.0022342396,0,-35.206601,-8.7295207e-06,0
0.5,0,26.710219,-0.0023148452,0,-35.197372,-8.104018e-06,0
0.5,0,26.709613,-0.0023117748,0,-35.188144,-7.4446532e-06,0
0.5,0,26.708436,-0.0027024371,0,-35.178915,-6.7673829e-06,0
0.5,0,26.706901,-0.0029346548,0,-35.169687,-6.0836883e-06,0
0.5,0,26.705913,-0.002671696,0,-35.160458,-5.4022284e-06,0
0.5,0,26.705548,-0.0024696216,0,-35.15123,-4.7324708e-06,0
0.5,0,26.705086,-0.0022250862,0,-35.142002,-4.0851687e-06,0
0.5,0,26.704716,-0.0019882203,0,-35.132773,-3.4646734e-06,0
0.5,0,26.70451,-0.0018383633,0,-35.123545,-2.8628888e-06,0
0.5,0,26.704495,-0.0018008899,0,-35.114316,-2.264808e-06,0
0.5,0,26.704651,-0.0018194658,0,-35.105088,-1.6613292e-06,0
0.5,0,26.704931,-0.0018035791,0,-35.095859,-1.0569146e-06,0
0.5,0,26.705277,-0.0017224456,0,-35.086631,-4.6637905e-07,0
0.5,0,26.705559,-0.0015861714,0,-35.078962,-2.5804012e-15,0
0.5,0,26.725673,-0.0047592417,0,-33.074825,-1.1597855e-07,0
0.5,0,26.727208,-0.0046979345,0,-33.078804,-2.5804012e-15,0
0.5,0,26.723531,-0.0049162149,0,-33.065597,-3.6379487e-07,0
0.5,0,26.722165,-0.0050969369,0,-33.056368,-5.8792823e-07,0
0.5,0,26.721091,-0.0052819428,0,-33.04714,-7.852321e-07,0
0.5,0,26.720591,-0.0054270585,0,-33.037911,-9.5653064e-07,0
0.5,0,26.72004,-0.0055154692,0,-33.028683,-1.1001543e-06,0
0.5,0,26.719256,-0.0056130184,0,-33.019454,-1.216155e-06,0
0.5,0,26.718179,-0.0057195036,0,-33.010226,-1.3113626e-06,0
0.5,0,26.716447,-0.005797978,0,-33.000997,-1.390681e-06,0
0.5,0,26.714165,-0.0058485076,0,-32.991769,-1.4589518e-06,0
0.5,0,26.711436,-0.005879989,0,-32.98254,-1.5209951e-06,0
0.5,0,26.708412,-0.0059007739,0,-32.973312,-1.5805787e-06,0
0.5,0,26.705296,-0.0059224914,0,-32.964083,-1.6400255e-06,0
0.5,0,26.702286,-0.005955755,0,-32.954855,-1.7003246e-06,0
0.5,0,26.69956,-0.006004969,0,-32.945626,-1.7613042e-06,0
0.5,0,26.697297,-0.0060678215,0,-32.936398,-1.8216331e-06,0
0.5,0,26.695659,-0.0061399511,0,-32.92717,-1.8792363e-06,0
0.5,0,26.694727,-0.0062151123,0,-32.917941,-1.9319098e-06,0
0.5,0,26.694475,-0.006286834,0,-32.908713,-1.978457e-06,0
0.5,0,26.694629,-0.0063498018,0,-32.899484,-2.0191433e-06,0
0.5,0,26.694254,-0.0063976014,0,-32.890256,-2.0551556e-06,0
0.5,0,26.692444,-0.0063737954,0,-32.881027,-2.0893783e-06,0
0.5,0,26.690234,-0.0062822795,0,-32.871799,-2.1249067e-06,0
0.5,0,26.687248,-0.006181389,0,-32.86257,-2.1643294e-06,0
0.5,0,26.681577,-0.0060717742,0,-32.853342,-2.2106068e-06,0
0.5,0,26.67257,-0.0059539136,0,-32.844113,-2.2658488e-06,0
0.5,0,26.659686,-0.0058342786,0,-32.834885,-2.3310891e-06,0
